Domain,YearsOfExperience,Year,Salary
ml,6,2021,153423
education,1,2021,86948
devops,2,2021,156674
devops,18,2021,221262
education,4,2021,99051
ml,6,2021,150577
frontend,17,2021,178638
devops,6,2021,167861
healthcare,13,2021,154706
business,6,2021,139368
backend,5,2021,171001
education,9,2021,96118
ml,8,2021,167606
data,8,2021,177352
frontend,11,2021,147293
ml,16,2021,219966
frontend,6,2021,133728
healthcare,4,2021,107549
fullstack,9,2021,162060
business,0,2021,109144
ml,15,2021,213197
data,4,2021,163305
backend,12,2021,170944
ml,18,2021,215434
devops,5,2021,158028
backend,5,2021,159518
healthcare,10,2021,113839
healthcare,5,2021,137626
ml,16,2021,207991
fullstack,11,2021,159575
business,16,2021,157373
education,5,2021,90862
design,8,2021,116659
devops,2,2021,165800
education,11,2021,118619
business,20,2021,136706
education,16,2021,122552
data,1,2021,134621
fullstack,1,2021,137510
ml,20,2021,219466
healthcare,11,2021,125184
data,19,2021,206356
data,16,2021,169882
data,18,2021,178611
design,13,2021,116039
frontend,3,2021,140988
ml,14,2021,184117
healthcare,5,2021,132998
frontend,13,2021,169777
design,18,2021,133145
data,15,2021,174057
business,3,2021,101046
business,14,2021,127073
design,8,2021,133762
ml,5,2021,175718
data,6,2021,162860
frontend,6,2021,128999
design,13,2021,134585
devops,18,2021,168329
education,4,2021,109049
healthcare,13,2021,154941
backend,19,2021,164794
fullstack,20,2021,184642
design,2,2021,114019
business,9,2021,147768
data,15,2021,185171
devops,1,2021,121695
healthcare,8,2021,114023
devops,6,2021,179046
healthcare,2,2021,95546
frontend,8,2021,149637
education,7,2021,96176
frontend,9,2021,124380
frontend,13,2021,149854
frontend,12,2021,149086
backend,17,2021,168486
education,17,2021,122562
frontend,4,2021,118223
frontend,10,2021,135822
fullstack,6,2021,139412
education,10,2021,118159
backend,2,2021,138494
frontend,8,2021,125619
frontend,11,2021,144899
frontend,3,2021,125960
business,10,2021,148311
data,2,2021,150612
design,6,2021,118841
healthcare,9,2021,120639
fullstack,0,2021,128468
fullstack,14,2021,171146
ml,4,2021,172916
business,0,2021,99636
healthcare,16,2021,150804
business,11,2021,132651
business,17,2021,143130
healthcare,14,2021,144916
backend,15,2021,149391
design,9,2021,139504
design,12,2021,118458
backend,11,2021,166589
ml,0,2021,128606
data,3,2021,135942
education,19,2021,133448
education,14,2021,105784
fullstack,14,2021,153297
healthcare,10,2021,137168
design,3,2021,109560
frontend,8,2021,135191
business,12,2021,146997
ml,9,2021,190810
fullstack,14,2021,177676
frontend,11,2021,157709
devops,18,2021,164253
ml,2,2021,179658
fullstack,2,2021,118104
fullstack,15,2021,181952
ml,18,2021,216533
fullstack,0,2021,108863
education,5,2021,102445
devops,12,2021,160097
backend,11,2021,176719
frontend,18,2021,146276
education,1,2021,78107
frontend,11,2021,148633
business,11,2021,134480
design,13,2021,116162
education,17,2021,105939
business,16,2021,144289
data,5,2021,137521
fullstack,9,2021,151292
education,11,2021,116770
healthcare,11,2021,130229
design,4,2021,110337
data,11,2021,148535
design,12,2021,136791
business,20,2021,166364
devops,16,2021,204855
frontend,0,2021,101285
devops,3,2021,140155
fullstack,8,2021,148780
ml,10,2021,193973
healthcare,16,2021,124851
education,8,2021,122385
fullstack,14,2021,159231
backend,20,2021,186137
data,1,2021,148582
ml,1,2021,134467
education,17,2021,107962
backend,7,2021,133148
frontend,0,2021,122513
business,0,2021,91076
education,8,2021,113173
data,1,2021,120285
education,9,2021,107691
backend,0,2021,123865
design,2,2021,104583
data,4,2021,139894
business,15,2021,163866
fullstack,6,2021,138075
data,13,2021,198125
healthcare,17,2021,131363
ml,10,2021,175189
frontend,7,2021,154546
devops,7,2021,175612
design,14,2021,132802
design,9,2021,118253
business,14,2021,145493
fullstack,7,2021,131241
healthcare,5,2021,105966
healthcare,19,2021,133888
backend,7,2021,134467
fullstack,13,2021,174110
devops,18,2021,165593
data,17,2021,167178
fullstack,13,2021,179156
data,16,2021,175915
ml,6,2021,176578
fullstack,3,2021,144864
frontend,0,2021,99560
design,0,2021,97692
fullstack,12,2021,158736
data,2,2021,157950
education,10,2021,104282
fullstack,16,2021,155204
ml,16,2021,181239
ml,11,2021,192383
design,3,2021,116052
design,17,2021,131744
design,7,2021,114847
backend,19,2021,183372
fullstack,20,2021,187728
devops,10,2021,160440
design,1,2021,112288
data,10,2021,172315
frontend,0,2021,103536
data,6,2021,140116
frontend,13,2021,152345
healthcare,16,2021,134277
ml,4,2021,156893
backend,1,2021,113258
healthcare,19,2021,124222
data,11,2021,179363
devops,6,2021,143472
education,18,2021,132885
devops,7,2021,170269
fullstack,15,2021,151550
frontend,2,2021,115678
fullstack,1,2021,116851
education,13,2021,126350
devops,19,2021,188490
backend,10,2021,145649
devops,2,2021,143842
devops,3,2021,152918
design,15,2021,138087
frontend,11,2021,148945
data,19,2021,202539
frontend,19,2021,154218
design,3,2021,119871
data,12,2021,194519
ml,18,2021,179340
business,18,2021,131044
backend,11,2021,159480
frontend,10,2021,149356
fullstack,18,2021,165439
education,5,2021,117009
frontend,4,2021,112002
devops,4,2021,174000
backend,16,2021,173762
fullstack,4,2021,135289
business,1,2021,96347
design,15,2021,122825
devops,3,2021,151726
backend,15,2021,191505
backend,9,2021,166081
data,17,2021,189716
devops,10,2021,188815
devops,1,2021,141960
design,16,2021,152282
frontend,18,2021,152608
backend,11,2021,145107
devops,5,2021,179743
devops,1,2021,133737
healthcare,1,2021,109630
ml,6,2021,171245
design,19,2021,122337
design,16,2021,138126
business,18,2021,146433
healthcare,3,2021,112898
healthcare,16,2021,139008
ml,7,2021,181703
design,3,2021,121606
backend,5,2021,146974
data,19,2021,164250
design,19,2021,143971
fullstack,19,2021,156045
backend,13,2021,148011
frontend,18,2021,158148
business,18,2021,143433
devops,17,2021,214822
education,7,2021,116853
design,3,2021,104684
data,4,2021,143052
frontend,10,2021,132185
frontend,16,2021,140138
fullstack,6,2021,142454
data,4,2021,145444
frontend,18,2021,159957
business,20,2021,158698
backend,13,2021,170196
education,7,2021,114162
fullstack,6,2021,144598
education,4,2021,109249
devops,20,2021,191043
backend,9,2021,177346
design,13,2021,141725
frontend,5,2021,147170
frontend,14,2021,170227
frontend,16,2021,146270
fullstack,11,2021,163165
backend,14,2021,194916
business,15,2021,130073
business,2,2021,99891
business,14,2021,139155
data,7,2021,167752
design,5,2021,116703
ml,15,2021,196894
fullstack,17,2021,193141
ml,4,2021,186255
devops,18,2021,183813
data,17,2021,207459
backend,1,2021,139452
education,4,2021,106699
fullstack,10,2021,153638
design,12,2021,111058
business,12,2021,154773
healthcare,14,2021,136875
education,14,2021,116010
design,9,2021,130702
data,1,2021,136841
healthcare,8,2021,127520
fullstack,11,2021,150384
frontend,17,2021,153805
business,19,2021,162976
devops,7,2021,183033
data,3,2021,158003
healthcare,0,2021,102635
business,16,2021,158070
backend,17,2021,170654
backend,6,2021,156559
ml,11,2021,219345
business,8,2021,140555
fullstack,8,2021,147182
ml,17,2021,181206
frontend,13,2021,162590
backend,17,2021,183831
ml,9,2021,180479
healthcare,8,2021,118864
education,12,2021,120621
design,11,2021,109998
ml,20,2021,209671
education,19,2021,108973
ml,2,2021,169003
data,19,2021,176951
design,6,2021,130506
design,9,2021,132785
design,5,2021,120909
healthcare,16,2021,136808
business,1,2021,113054
business,9,2021,126267
backend,9,2021,155213
frontend,5,2021,140922
ml,2,2021,178482
business,17,2021,158599
backend,5,2021,148199
data,12,2021,169693
education,1,2021,94488
backend,18,2021,163063
business,16,2021,129712
healthcare,16,2021,132532
ml,18,2021,205397
business,12,2021,135770
ml,6,2021,187414
business,20,2021,164693
fullstack,7,2021,132966
ml,17,2021,194588
business,6,2021,133602
education,12,2021,104023
backend,12,2021,167153
frontend,17,2021,174244
design,4,2021,114683
business,14,2021,164782
fullstack,17,2021,193437
data,18,2021,181459
education,12,2021,118311
design,13,2021,135481
business,14,2021,160290
devops,9,2021,184997
healthcare,13,2021,139505
data,2,2021,148886
ml,16,2021,186806
education,5,2021,95231
data,14,2021,195264
design,10,2021,125661
fullstack,15,2021,176863
data,15,2021,188294
frontend,14,2021,173982
business,15,2021,136720
education,7,2021,92304
design,16,2021,115152
devops,9,2021,189554
business,19,2021,157127
data,1,2021,115392
fullstack,18,2021,177837
devops,15,2021,213523
devops,20,2021,186788
frontend,20,2021,144344
healthcare,17,2021,128543
data,16,2021,195183
business,7,2021,146561
ml,3,2021,176902
ml,10,2021,195151
devops,12,2021,194308
backend,8,2021,138663
data,8,2021,147460
design,5,2021,121395
backend,6,2021,149541
education,10,2021,109958
healthcare,8,2021,143190
frontend,17,2021,164149
backend,17,2021,169202
fullstack,12,2021,154452
fullstack,11,2021,156720
backend,17,2021,188644
devops,12,2021,184707
design,17,2021,140798
backend,10,2021,155784
design,4,2021,116213
design,11,2021,142920
design,15,2021,120635
devops,12,2021,202839
data,6,2021,166591
fullstack,1,2021,108320
business,1,2021,120218
frontend,16,2021,135176
ml,3,2021,179966
backend,3,2021,154505
design,5,2021,103001
data,14,2021,188551
ml,0,2021,160449
business,6,2021,136438
education,7,2021,118814
data,8,2021,148292
healthcare,8,2021,132625
fullstack,12,2021,160592
healthcare,4,2021,129001
education,14,2021,101922
education,13,2021,112951
fullstack,10,2021,150974
business,16,2021,134751
fullstack,9,2021,174368
devops,7,2021,183198
fullstack,19,2021,158325
design,0,2021,94033
fullstack,12,2021,164291
devops,0,2021,116552
education,7,2021,107698
backend,4,2021,132588
healthcare,11,2021,125730
backend,18,2021,193548
ml,12,2021,173600
education,18,2021,103597
design,1,2021,93646
data,20,2021,203965
devops,20,2021,213622
frontend,16,2021,159698
frontend,2,2021,134607
healthcare,19,2021,135674
healthcare,18,2021,124013
devops,17,2021,188117
data,15,2021,173335
data,6,2021,144012
fullstack,16,2021,161742
design,14,2021,149187
business,2,2021,128280
frontend,20,2021,172963
healthcare,16,2021,150252
data,12,2021,186358
healthcare,20,2021,151871
design,13,2021,114519
data,8,2021,153609
design,18,2021,135503
fullstack,7,2021,129451
frontend,11,2021,162003
ml,14,2021,175034
education,2,2021,101168
ml,1,2021,134346
frontend,5,2021,141060
data,14,2021,205323
backend,20,2021,195918
business,3,2021,117170
devops,10,2021,163863
backend,18,2021,195471
education,14,2021,105308
frontend,18,2021,178945
backend,11,2021,147978
healthcare,19,2021,141823
design,11,2021,136531
fullstack,12,2021,148690
education,2,2021,82113
design,17,2021,124866
backend,13,2021,190805
frontend,8,2021,137735
business,15,2021,135882
business,18,2021,154545
business,15,2021,136106
frontend,10,2021,140155
devops,8,2021,150616
education,10,2021,109985
design,0,2021,108524
backend,7,2021,156032
education,5,2021,115827
fullstack,20,2021,148875
ml,16,2021,210581
data,12,2021,168900
healthcare,0,2021,105473
backend,18,2021,195751
frontend,4,2021,110170
healthcare,7,2021,112441
healthcare,3,2021,95227
data,5,2021,174738
frontend,20,2021,157187
business,15,2021,127918
backend,17,2021,152966
data,8,2021,187491
design,14,2021,147489
data,20,2021,182430
design,17,2021,126846
backend,12,2021,161419
design,8,2021,131801
healthcare,16,2021,121876
fullstack,17,2021,177737
devops,3,2021,160903
design,16,2021,145965
fullstack,15,2021,158965
devops,12,2021,195848
healthcare,19,2021,163564
ml,10,2021,190919
healthcare,20,2021,158776
education,19,2021,135961
business,11,2021,142543
data,0,2021,141373
devops,0,2021,152251
healthcare,7,2021,108316
ml,2,2021,143097
frontend,3,2021,110684
devops,10,2021,199793
design,7,2021,120560
frontend,7,2021,123976
devops,15,2021,172870
backend,8,2021,142389
ml,13,2021,189184
devops,0,2021,133478
ml,10,2021,172908
fullstack,8,2021,143191
business,14,2021,143826
education,7,2021,102453
frontend,8,2021,158776
data,6,2021,164065
fullstack,5,2021,163666
education,17,2021,108845
frontend,6,2021,129209
education,9,2021,95161
backend,3,2021,151007
business,10,2021,120930
data,15,2021,172068
backend,8,2021,143248
backend,4,2021,157872
business,2,2021,123589
frontend,9,2021,150482
devops,7,2021,179315
devops,0,2021,152636
data,14,2021,159854
business,8,2021,142974
ml,20,2021,225430
healthcare,6,2021,124485
devops,6,2021,161247
healthcare,1,2021,107234
ml,19,2021,180749
fullstack,3,2021,131895
devops,9,2021,147506
education,20,2021,132229
ml,3,2021,154092
devops,7,2021,188978
ml,14,2021,187797
data,7,2021,147318
design,20,2021,128807
frontend,20,2021,172342
business,15,2021,146942
backend,14,2021,157045
business,4,2021,116988
ml,12,2021,166954
business,5,2021,122237
ml,14,2021,209362
healthcare,17,2021,146925
healthcare,18,2021,161014
ml,9,2021,189672
healthcare,3,2021,109437
fullstack,8,2021,135868
frontend,6,2021,150970
backend,15,2021,158395
devops,16,2021,182998
frontend,6,2021,116895
ml,7,2021,166900
data,19,2021,211419
design,11,2021,137087
business,4,2021,119659
ml,20,2021,231778
data,8,2021,165056
design,10,2021,117586
frontend,5,2021,113945
fullstack,15,2021,181247
fullstack,1,2021,137579
backend,14,2021,175260
data,14,2021,203481
design,3,2021,93690
backend,16,2021,187614
devops,13,2021,165624
education,9,2021,92828
ml,16,2021,224961
devops,8,2021,149676
data,12,2021,179396
devops,2,2021,132749
fullstack,18,2021,195427
healthcare,16,2021,132918
business,14,2021,133180
fullstack,2,2021,114956
fullstack,13,2021,155116
healthcare,8,2021,141154
business,15,2021,131585
education,17,2021,112395
business,2,2021,114138
healthcare,20,2021,153934
healthcare,11,2021,120813
healthcare,9,2021,115033
fullstack,14,2021,162770
ml,2,2021,153201
ml,0,2021,134741
devops,4,2021,161355
data,10,2021,147842
ml,8,2021,200770
backend,10,2021,177038
ml,11,2021,187058
backend,12,2021,154339
ml,19,2021,205725
frontend,11,2021,162290
backend,15,2021,165573
healthcare,2,2021,119855
ml,8,2021,158685
frontend,7,2021,153686
fullstack,19,2021,168153
education,3,2021,94360
design,2,2021,88881
business,11,2021,137641
devops,10,2021,169742
healthcare,6,2021,139308
healthcare,11,2021,132309
devops,12,2021,181321
business,13,2021,147159
fullstack,10,2021,139237
healthcare,8,2021,113346
business,17,2021,163563
business,6,2021,131373
fullstack,1,2021,115942
frontend,7,2021,119398
design,2,2021,91785
devops,15,2021,177560
design,16,2021,136208
education,9,2021,104415
devops,7,2021,178583
frontend,13,2021,159243
ml,10,2021,164263
design,13,2021,123863
frontend,4,2021,119528
frontend,12,2021,135609
education,12,2021,112764
education,11,2021,123675
backend,13,2021,188145
education,16,2021,117044
business,3,2021,120185
healthcare,4,2021,105195
fullstack,7,2021,168019
ml,12,2021,215730
healthcare,17,2021,142462
design,20,2021,139831
design,3,2021,109831
ml,16,2021,217512
education,13,2021,117696
devops,9,2021,185409
ml,6,2021,189105
design,0,2021,108794
data,17,2021,170424
backend,0,2021,126878
design,10,2021,132580
data,7,2021,143068
design,0,2021,80984
design,17,2021,143069
frontend,13,2021,162233
backend,6,2021,142312
backend,5,2021,141200
business,7,2021,133317
devops,6,2021,163408
fullstack,6,2021,141479
fullstack,4,2021,155724
fullstack,13,2021,160435
ml,5,2021,165110
fullstack,9,2021,134166
devops,16,2021,187777
backend,11,2021,154929
education,20,2021,106330
devops,6,2021,184818
education,9,2021,120813
education,8,2021,116680
data,3,2021,152636
business,13,2021,145280
healthcare,12,2021,120865
design,18,2021,147639
fullstack,7,2021,135460
devops,16,2021,217673
fullstack,20,2021,197860
frontend,5,2021,142257
healthcare,16,2021,131854
healthcare,14,2021,134721
frontend,13,2021,164723
frontend,8,2021,118453
education,6,2021,118672
devops,7,2021,164487
backend,16,2021,182246
fullstack,7,2021,152523
ml,16,2021,228928
healthcare,5,2021,124361
devops,15,2021,178267
business,16,2021,155625
healthcare,8,2021,124553
data,17,2021,200194
education,20,2021,123104
data,8,2021,144440
business,18,2021,128951
design,18,2021,149512
backend,2,2021,120499
education,8,2021,121473
frontend,15,2021,139256
education,11,2021,122431
design,5,2021,98782
business,11,2021,141345
data,15,2021,173989
devops,1,2021,157675
business,12,2021,147410
ml,14,2021,212171
education,17,2021,135635
healthcare,6,2021,111253
devops,0,2021,137250
data,11,2021,194444
education,15,2021,120124
healthcare,11,2021,140260
frontend,16,2021,170947
fullstack,3,2021,118984
business,16,2021,141963
design,8,2021,103532
healthcare,20,2021,131921
healthcare,2,2021,110657
devops,18,2021,211591
education,7,2021,99376
frontend,13,2021,146563
ml,1,2021,143683
backend,0,2021,134594
data,3,2021,138805
devops,12,2021,163597
backend,2,2021,141819
ml,10,2021,202991
backend,8,2021,149374
healthcare,17,2021,155847
data,18,2021,160858
healthcare,19,2021,134041
fullstack,10,2021,147106
education,5,2021,97550
fullstack,5,2021,137223
frontend,7,2021,138658
backend,0,2021,124994
fullstack,14,2021,146134
backend,14,2021,180866
healthcare,16,2021,144630
devops,10,2021,192558
devops,17,2021,176720
backend,13,2021,151095
education,7,2021,103911
frontend,13,2021,170317
education,5,2021,93167
data,15,2021,162426
fullstack,6,2021,168260
devops,18,2021,193140
design,19,2021,144539
ml,5,2021,161994
design,5,2021,114733
business,3,2021,113653
data,5,2021,140445
ml,12,2021,198579
backend,19,2021,170293
design,1,2021,88003
devops,5,2021,168776
healthcare,17,2021,161584
ml,3,2021,141265
ml,20,2021,237873
devops,10,2021,183715
design,16,2021,123491
devops,15,2021,162528
devops,19,2021,185723
healthcare,4,2021,118453
business,0,2021,95131
education,12,2021,129666
healthcare,17,2021,124039
business,16,2021,158451
devops,0,2021,145907
backend,1,2021,147251
backend,13,2021,160944
design,15,2021,129899
business,3,2021,104544
backend,0,2021,108272
healthcare,2,2021,97407
education,5,2021,92944
healthcare,16,2021,128947
data,2,2021,141674
ml,2,2021,144946
design,13,2021,128511
backend,19,2021,163652
design,8,2021,122671
fullstack,19,2021,163041
fullstack,11,2021,149780
data,8,2021,142874
design,18,2021,141558
frontend,13,2021,129617
fullstack,19,2021,169942
design,10,2021,133188
data,14,2021,162098
devops,14,2021,189392
backend,4,2021,144813
backend,19,2021,189464
education,7,2021,91909
data,8,2021,172536
devops,12,2021,207525
healthcare,5,2021,117893
design,16,2021,116872
fullstack,16,2021,192200
design,16,2021,125149
business,15,2021,155017
data,14,2021,194149
ml,17,2021,175452
data,10,2021,152013
healthcare,1,2021,94468
ml,6,2021,182197
fullstack,12,2021,136771
business,2,2021,129618
education,0,2021,89509
education,6,2021,88905
backend,16,2021,156938
devops,20,2021,183258
fullstack,7,2021,137032
design,5,2021,129088
ml,8,2021,209127
data,14,2021,154159
ml,9,2021,213359
healthcare,16,2021,140527
devops,19,2021,185242
ml,1,2021,149296
fullstack,18,2021,187852
design,5,2021,121714
education,17,2021,103311
data,0,2021,128975
backend,11,2021,186784
fullstack,13,2021,181957
frontend,19,2021,135091
devops,5,2021,145819
frontend,15,2021,146749
backend,16,2021,165091
ml,15,2021,194958
frontend,8,2021,142823
business,7,2021,143889
devops,20,2021,195706
design,13,2021,116839
fullstack,6,2021,159159
design,1,2021,100140
devops,7,2021,180698
backend,6,2021,158514
design,2,2021,109421
backend,15,2021,172904
frontend,2,2021,125294
frontend,13,2021,170695
healthcare,7,2021,124081
healthcare,20,2021,132931
healthcare,17,2021,149703
devops,12,2021,206444
education,20,2021,132534
data,18,2021,165752
healthcare,8,2021,123660
healthcare,7,2021,123658
design,5,2021,118899
design,9,2021,135416
healthcare,8,2021,119671
healthcare,11,2021,122731
fullstack,17,2021,194665
frontend,7,2021,155651
education,10,2021,121781
business,10,2021,133890
data,15,2021,165712
education,2,2021,97322
frontend,9,2021,136343
backend,8,2021,152446
data,10,2021,179783
frontend,2,2021,135957
data,11,2021,184928
business,15,2021,161673
ml,1,2021,145721
devops,5,2021,146930
business,10,2021,127814
fullstack,4,2021,133697
backend,18,2021,168335
ml,19,2021,237790
design,19,2021,139999
ml,14,2021,199492
backend,17,2021,158421
ml,5,2021,162592
backend,18,2021,188624
design,11,2021,136979
education,8,2021,106840
design,16,2021,120207
business,10,2021,128389
fullstack,18,2021,178160
devops,4,2021,174797
devops,2,2021,134296
frontend,1,2021,125441
backend,2,2021,119749
devops,9,2021,185563
data,14,2021,177131
ml,11,2021,172929
data,13,2021,182496
devops,11,2021,167054
design,3,2021,99636
education,10,2021,101281
backend,20,2021,188712
design,2,2021,107077
design,0,2021,100935
healthcare,4,2021,116572
ml,13,2021,206374
design,11,2021,142079
business,17,2021,146529
ml,7,2021,156107
education,14,2021,108780
backend,10,2021,174781
devops,13,2021,168079
data,3,2021,136537
backend,16,2021,166368
fullstack,14,2021,170154
healthcare,11,2021,127905
education,12,2021,121507
fullstack,16,2021,158657
ml,0,2021,134324
business,18,2021,133143
ml,3,2021,170927
frontend,2,2021,117935
devops,1,2021,123800
ml,20,2021,202166
devops,19,2021,196002
frontend,0,2021,115345
backend,10,2021,155677
fullstack,10,2021,135901
backend,12,2021,145808
ml,3,2021,175305
design,15,2021,130338
backend,1,2021,117453
business,11,2021,143241
devops,0,2021,115183
design,12,2021,127486
devops,18,2021,172138
frontend,18,2021,174360
business,11,2021,146241
ml,7,2021,165286
devops,11,2021,164039
data,17,2021,169867
business,19,2021,140707
education,12,2021,106414
devops,1,2021,142440
design,6,2021,98605
education,19,2021,137218
ml,18,2021,213322
healthcare,2,2021,102092
frontend,2,2021,109799
devops,0,2021,132287
design,0,2021,99936
backend,7,2021,147987
healthcare,12,2021,127089
devops,15,2021,164684
education,2,2021,95647
data,3,2021,133338
design,17,2021,145224
education,10,2021,117095
design,15,2021,113537
devops,2,2021,149894
education,5,2021,87751
healthcare,18,2021,135724
frontend,14,2021,157930
data,19,2021,187238
backend,12,2021,183036
design,14,2021,119496
devops,1,2021,141506
frontend,13,2021,142603
frontend,19,2021,180071
devops,16,2021,163333
education,17,2021,105159
business,6,2021,116055
devops,1,2021,143194
devops,1,2021,124195
devops,7,2021,169740
design,8,2021,130648
backend,0,2021,120483
healthcare,15,2021,132890
fullstack,7,2021,155958
devops,4,2021,148690
backend,1,2021,121919
backend,20,2021,173259
devops,8,2021,192125
design,6,2021,116350
healthcare,0,2021,104192
fullstack,19,2021,187093
frontend,17,2021,172831
data,11,2021,194164
data,14,2021,190636
ml,13,2021,172268
education,5,2021,89175
frontend,0,2021,108189
design,8,2021,112128
business,1,2021,94660
ml,6,2021,196771
design,18,2021,151847
frontend,10,2021,156876
devops,7,2021,182374
data,13,2021,173466
design,14,2021,115435
business,5,2021,128838
backend,4,2021,140090
ml,3,2021,172592
devops,8,2021,155309
backend,5,2021,151580
data,12,2021,175726
backend,3,2021,132006
fullstack,2,2021,116868
fullstack,7,2021,160770
business,14,2021,124440
education,18,2021,113211
education,6,2021,89753
business,2,2021,105820
design,14,2021,141231
devops,6,2021,161896
devops,15,2021,168820
data,6,2021,174716
education,5,2021,105146
frontend,3,2021,138539
data,8,2021,146301
ml,7,2021,163512
ml,8,2021,206306
education,8,2021,106181
healthcare,18,2021,144954
education,11,2021,106124
devops,13,2021,157199
devops,7,2021,146937
data,17,2021,196166
design,5,2021,119756
healthcare,20,2021,149842
frontend,12,2021,133236
devops,14,2021,199481
education,9,2021,96917
design,8,2021,136592
healthcare,9,2021,114880
data,11,2021,151132
design,14,2021,148485
data,1,2021,121079
ml,0,2021,137168
fullstack,12,2021,152163
data,17,2021,176765
design,6,2021,132449
devops,16,2021,192959
education,9,2021,103948
ml,16,2021,190259
business,1,2021,118602
data,18,2021,175523
business,3,2021,129005
education,7,2021,118815
frontend,18,2021,172688
data,2,2021,141604
fullstack,5,2021,134571
fullstack,16,2021,161730
design,20,2021,151265
devops,15,2021,184377
fullstack,3,2021,132229
healthcare,5,2021,130834
backend,9,2021,161903
fullstack,11,2021,150292
design,14,2021,135173
devops,10,2021,170141
fullstack,16,2021,168766
design,8,2021,105609
ml,1,2021,160240
frontend,1,2021,115024
devops,10,2021,158964
devops,11,2021,176720
business,2,2021,104537
data,9,2021,142174
frontend,3,2021,137908
backend,18,2021,188604
frontend,8,2021,147859
education,3,2021,83832
data,17,2021,169398
business,4,2021,135586
frontend,7,2021,120663
business,19,2021,147335
education,16,2021,120629
backend,3,2021,126473
business,7,2021,132641
devops,7,2021,146117
business,12,2021,136402
design,14,2021,123100
devops,11,2021,187815
frontend,2,2021,102564
fullstack,5,2021,157182
ml,15,2021,180095
